fips,state_abbrv,state,population,od_deaths,od_death_rate,median_income,deviation_us_median_income,gini,poverty_rate,unemployment_rate,deviation_us_unemployment_rate,number_uninsured,number_insured,uninsurance_rate,insurance_rate,no_hs_rate,only_hs_rate,college_rate,disability_rate,mean_low_debt_rate
36,NY,New York,19336776,5165,26.7,71865,679,0.5127,13.6,9.9,1.8000000000000007,949729,14632095,6.1,93.9,12.77653980255127,25.454971313476562,37.45866394042969,12.3,0.4
37,NC,North Carolina,10600823,3290,31,63252,-7934,0.4759,14,7.1,-1,1078903,7403759,12.7,87.3,11.487136840820312,25.45386505126953,32.04118347167969,14.1,1.55
38,ND,North Dakota,765309,124,16.2,67109,-4077,0.4508,10.5,5.1,-3,51605,576096,8.2,91.8,6.895733833312988,26.09657859802246,30.682477951049805,11.1,0.9325000000000001
39,OH,Ohio,11693217,5376,46,63198,-7988,0.4646,13.6,8.2,0.09999999999999964,752347,8561222,8.1,91.9,9.217381477355957,32.81199264526367,28.89019203186035,15,1.1425
40,OK,Oklahoma,3980783,801,20.1,54921,-16265,0.4673,15.3,6.2,-1.8999999999999995,588744,2669024,18.1,81.9,11.44979476928711,31.114761352539062,26.14799690246582,17.8,1.2075
41,OR,Oregon,4241507,997,23.5,80443,9257,0.4579,12.4,7.6,-0.5,271867,3133354,8,92,8.85568904876709,22.66144371032715,34.40076446533203,15.1,1.6600000000000001
42,PA,Pennsylvania,12783254,5284,41.3,74094,2908,0.4702,12,9.1,1,771230,9224079,7.7,92.3,9.00964641571045,34.1755485534668,32.330562591552734,14.5,1.2275
44,RI,Rhode Island,1057125,407,38.5,83918,12732,0.4661,11.6,9.2,1.0999999999999996,38101,794088,4.6,95.4,10.825634002685547,27.96957015991211,35.02219009399414,14.9,1.5750000000000002
45,SC,South Carolina,5218040,1804,34.6,63159,-8027,0.477,14.7,6,-2.0999999999999996,521660,3552239,12.8,87.2,11.681687355041504,28.867918014526367,28.989877700805664,15.2,1.78
46,SD,South Dakota,892717,86,9.6,73467,2281,0.4413,12.8,4.3,-3.8,82995,635170,11.6,88.4,7.784656047821045,30.21832275390625,29.29646873474121,12.1,1.2075
47,TN,Tennessee,6886834,3161,45.9,57542,-13644,0.4775,14.6,7.4,-0.6999999999999993,674659,4856851,12.2,87.8,11.77959156036377,31.821434020996094,28.150861740112305,16.1,1.3599999999999999
48,TX,Texas,29360759,4384,14.9,71599,413,0.4765,14.2,7.7,-0.39999999999999947,4939035,19912618,19.9,80.1,15.635540962219238,24.710411071777344,30.689559936523438,12.2,1.2075
49,UT,Utah,3249879,658,20.2,87915,16729,0.4245,9.1,4.7,-3.3999999999999995,275403,2556652,9.7,90.3,7.049075603485107,22.755491256713867,34.68449020385742,10.5,1.6600000000000001
50,VT,Vermont,623347,200,32.1,70398,-788,0.4485,10.8,5.6,-2.5,23358,450565,4.9,95.1,6.504798889160156,28.25041961669922,39.65898132324219,13.6,1.43
51,VA,Virginia,8590563,2331,27.1,86053,14867,0.4735,10,6.2,-1.8999999999999995,595215,6359959,8.6,91.4,9.66402530670166,23.882633209228516,39.51491928100586,12.6,1.78
53,WA,Washington,7693612,1896,24.6,85157,13971,0.4574,10.2,8.5,0.40000000000000036,473502,5918114,7.4,92.6,8.296576499938965,21.802671432495117,36.67926788330078,13.6,1.55
54,WV,West Virginia,1784787,1397,78.3,54396,-16790,0.4661,17.1,8.2,0.09999999999999964,115342,1252680,8.4,91.6,12.386856079101562,39.96848678588867,21.296955108642578,19.6,1.32
55,WI,Wisconsin,5832655,1560,26.7,70553,-633,0.4448,11,6.3,-1.7999999999999998,319289,4346962,6.8,93.2,7.413316249847412,30.268339157104492,30.801372528076172,12.1,1.175
56,WY,Wyoming,582328,104,17.9,68506,-2680,0.4393,10.8,5.8,-2.3,66149,402208,14.1,85.9,6.4154229164123535,28.55844497680664,28.1806640625,13.7,1.55
NA,US,United States,329484123,96096,29.2,71186,0,NA,NA,8.1,0,NA,NA,NA,NA,11.471478462219238,26.6658878326416,32.91929626464844,13.4,NA
